File,LowSeverityCount
.\lms\djangoapps\mobile_api\tests\test_mobile_platform.py,3
.\lms\djangoapps\mobile_api\tests\test_model.py,7
.\lms\djangoapps\mobile_api\testutils.py,5
.\lms\djangoapps\mobile_api\users\tests.py,61
.\lms\djangoapps\ora_staff_grader\tests\test_serializers.py,48
.\lms\djangoapps\ora_staff_grader\tests\test_views.py,74
.\lms\djangoapps\program_ads\targeting.py,2
.\lms\djangoapps\program_enrollments\api\tests\test_linking.py,25
.\lms\djangoapps\program_enrollments\api\tests\test_reading.py,13
.\lms\djangoapps\program_enrollments\api\tests\test_writing.py,16
.\lms\djangoapps\program_enrollments\management\commands\tests\test_migrate_saml_uids.py,8
.\lms\djangoapps\program_enrollments\management\commands\tests\test_reset_enrollment_data.py,4
.\lms\djangoapps\program_enrollments\management\commands\tests\test_send_program_course_nudge_email.py,3
.\lms\djangoapps\program_enrollments\rest_api\v1\tests\test_views.py,214
.\lms\djangoapps\program_enrollments\tests\test_admin.py,3
.\lms\djangoapps\program_enrollments\tests\test_models.py,12
.\lms\djangoapps\program_enrollments\tests\test_signals.py,11
.\lms\djangoapps\program_enrollments\tests\test_tasks.py,10
.\lms\djangoapps\rss_proxy\tests\test_models.py,1
.\lms\djangoapps\rss_proxy\tests\test_views.py,7
.\lms\djangoapps\static_template_view\tests\test_views.py,6
.\lms\djangoapps\staticbook\tests.py,6
.\lms\djangoapps\support\tests\test_tasks.py,6
.\lms\djangoapps\support\tests\test_views.py,140
.\lms\djangoapps\survey\tests\test_models.py,57
.\lms\djangoapps\survey\tests\test_signals.py,2
.\lms\djangoapps\survey\tests\test_utils.py,10
.\lms\djangoapps\survey\tests\test_views.py,14
.\lms\djangoapps\teams\tests\test_api.py,56
.\lms\djangoapps\teams\tests\test_csv.py,40
.\lms\djangoapps\teams\tests\test_models.py,20
.\lms\djangoapps\teams\tests\test_partition_scheme.py,5
.\lms\djangoapps\teams\tests\test_serializers.py,7
.\lms\djangoapps\teams\tests\test_services.py,7
.\lms\djangoapps\teams\tests\test_views.py,145
.\lms\djangoapps\tests\test_utils.py,1
.\lms\djangoapps\user_tours\management\commands\tests\test_backpopulate_user_tours.py,19
.\lms\djangoapps\user_tours\tests\test_handlers.py,4
.\lms\djangoapps\user_tours\v1\tests\test_views.py,23
.\lms\djangoapps\verify_student\management\commands\tests\test_approve_id_verifications.py,6
.\lms\djangoapps\verify_student\management\commands\tests\test_backfill_sso_verifications_for_old_account_links.py,6
.\lms\djangoapps\verify_student\management\commands\tests\test_manual_verify_student.py,2
.\lms\djangoapps\verify_student\management\commands\tests\test_retry_failed_photo_verifications.py,3
.\lms\djangoapps\verify_student\management\commands\tests\test_send_verification_expiry_email.py,21
.\lms\djangoapps\verify_student\tests\__init__.py,4
.\lms\djangoapps\verify_student\tests\fake_software_secure.py,1
.\lms\djangoapps\verify_student\tests\test_api.py,4
.\lms\djangoapps\verify_student\tests\test_fake_software_secure.py,4
.\lms\djangoapps\verify_student\tests\test_handlers.py,6
.\lms\djangoapps\verify_student\tests\test_integration.py,3
.\lms\djangoapps\verify_student\tests\test_models.py,39
.\lms\djangoapps\verify_student\tests\test_services.py,17
.\lms\djangoapps\verify_student\tests\test_ssencrypt.py,4
.\lms\djangoapps\verify_student\tests\test_utils.py,13
.\lms\djangoapps\verify_student\tests\test_views.py,109
.\lms\envs\common.py,2
.\lms\envs\devstack.py,4
.\lms\envs\production.py,1
.\lms\envs\test.py,6
.\lms\lib\courseware_search\test\test_lms_filter_generator.py,27
.\lms\lib\courseware_search\test\test_lms_result_processor.py,3
.\lms\lib\tests\test_utils.py,10
.\lms\lib\xblock\test\test_mixin.py,26
.\lms\tests.py,2
.\openedx\core\djangoapps\ace_common\tests\mixins.py,2
.\openedx\core\djangoapps\ace_common\tests\test_message.py,2
.\openedx\core\djangoapps\ace_common\tests\test_templatetags.py,5
.\openedx\core\djangoapps\ace_common\tests\test_tracking.py,12
.\openedx\core\djangoapps\agreements\tests\test_api.py,7
.\openedx\core\djangoapps\agreements\tests\test_models.py,5
.\openedx\core\djangoapps\agreements\tests\test_views.py,26
.\openedx\core\djangoapps\api_admin\api\v1\tests\test_views.py,5
.\openedx\core\djangoapps\api_admin\management\commands\tests\test_create_api_access_request.py,9
.\openedx\core\djangoapps\api_admin\tests\test_forms.py,3
.\openedx\core\djangoapps\api_admin\tests\test_models.py,24
.\openedx\core\djangoapps\api_admin\tests\test_views.py,34
.\openedx\core\djangoapps\auth_exchange\tests\mixins.py,1
.\openedx\core\djangoapps\auth_exchange\tests\test_forms.py,5
.\openedx\core\djangoapps\auth_exchange\tests\test_views.py,37
.\openedx\core\djangoapps\authz\tests\mixins.py,1
.\openedx\core\djangoapps\bookmarks\tests\test_api.py,26
.\openedx\core\djangoapps\bookmarks\tests\test_models.py,40
.\openedx\core\djangoapps\bookmarks\tests\test_services.py,13
.\openedx\core\djangoapps\bookmarks\tests\test_tasks.py,4
.\openedx\core\djangoapps\bookmarks\tests\test_views.py,41
.\openedx\core\djangoapps\cache_toolbox\tests\test_middleware.py,13
.\openedx\core\djangoapps\catalog\management\commands\tests\test_cache_programs.py,27
.\openedx\core\djangoapps\catalog\management\commands\tests\test_create_catalog_integrations.py,15
.\openedx\core\djangoapps\catalog\management\commands\tests\test_sync_course_runs.py,3
.\openedx\core\djangoapps\catalog\tests\test_api.py,1
.\openedx\core\djangoapps\catalog\tests\test_models.py,3
.\openedx\core\djangoapps\catalog\tests\test_utils.py,84
.\openedx\core\djangoapps\ccxcon\api.py,1
.\openedx\core\djangoapps\ccxcon\tests\factories.py,1
.\openedx\core\djangoapps\ccxcon\tests\test_api.py,17
.\openedx\core\djangoapps\ccxcon\tests\test_tasks.py,4
.\openedx\core\djangoapps\commerce\utils.py,6
.\openedx\core\djangoapps\content\block_structure\management\commands\tests\test_generate_course_blocks.py,14
.\openedx\core\djangoapps\content\block_structure\tests\helpers.py,3
.\openedx\core\djangoapps\content\block_structure\tests\test_block_structure.py,18
.\openedx\core\djangoapps\content\block_structure\tests\test_manager.py,11
.\openedx\core\djangoapps\content\block_structure\tests\test_models.py,11
.\openedx\core\djangoapps\content\block_structure\tests\test_signals.py,7
.\openedx\core\djangoapps\content\block_structure\tests\test_store.py,3
.\openedx\core\djangoapps\content\block_structure\tests\test_tasks.py,1
.\openedx\core\djangoapps\content\block_structure\tests\test_transformer_registry.py,4
.\openedx\core\djangoapps\content\block_structure\tests\test_transformers.py,7
.\openedx\core\djangoapps\content\course_overviews\management\commands\tests\test_generate_course_overview.py,8
.\openedx\core\djangoapps\content\course_overviews\management\commands\tests\test_simulate_publish.py,10
.\openedx\core\djangoapps\content\course_overviews\tests\test_api.py,11
.\openedx\core\djangoapps\content\course_overviews\tests\test_course_overviews.py,81
.\openedx\core\djangoapps\content\course_overviews\tests\test_signals.py,5
.\openedx\core\djangoapps\content\course_overviews\tests\test_sync_with_openedx_catalog.py,17
.\openedx\core\djangoapps\content\course_overviews\tests\test_tasks.py,3
.\openedx\core\djangoapps\content\learning_sequences\api\processors\content_gating.py,1
.\openedx\core\djangoapps\content\learning_sequences\api\tests\test_data.py,17
.\openedx\core\djangoapps\content\learning_sequences\api\tests\test_outlines.py,131
.\openedx\core\djangoapps\content\learning_sequences\tests\test_views.py,44
.\openedx\core\djangoapps\content\search\documents.py,1
.\openedx\core\djangoapps\content\search\tests\test_api.py,20
.\openedx\core\djangoapps\content\search\tests\test_documents.py,14
.\openedx\core\djangoapps\content\search\tests\test_handlers.py,2
.\openedx\core\djangoapps\content\search\tests\test_models.py,10
.\openedx\core\djangoapps\content\search\tests\test_reconcile.py,72
.\openedx\core\djangoapps\content\search\tests\test_reindex_cmd.py,3
.\openedx\core\djangoapps\content\search\tests\test_views.py,20
.\openedx\core\djangoapps\content_libraries\api\blocks.py,9
.\openedx\core\djangoapps\content_libraries\api\collections.py,13
.\openedx\core\djangoapps\content_libraries\api\container_metadata.py,8
.\openedx\core\djangoapps\content_libraries\api\containers.py,6
.\openedx\core\djangoapps\content_libraries\api\libraries.py,5
.\openedx\core\djangoapps\content_libraries\library_context.py,5
.\openedx\core\djangoapps\content_libraries\models.py,1
.\openedx\core\djangoapps\content_libraries\rest_api\collections.py,3
.\openedx\core\djangoapps\content_libraries\rest_api\containers.py,1
.\openedx\core\djangoapps\content_libraries\signal_handlers.py,1
.\openedx\core\djangoapps\content_libraries\tasks.py,1
.\openedx\core\djangoapps\content_libraries\tests\base.py,10
.\openedx\core\djangoapps\content_libraries\tests\test_api.py,107
.\openedx\core\djangoapps\content_libraries\tests\test_containers.py,130
.\openedx\core\djangoapps\content_libraries\tests\test_content_libraries.py,99
.\openedx\core\djangoapps\content_libraries\tests\test_course_to_library.py,8
.\openedx\core\djangoapps\content_libraries\tests\test_embed_block.py,16
.\openedx\core\djangoapps\content_libraries\tests\test_events.py,17
.\openedx\core\djangoapps\content_libraries\tests\test_runtime.py,81
.\openedx\core\djangoapps\content_libraries\tests\test_static_assets.py,27
.\openedx\core\djangoapps\content_libraries\tests\test_tasks.py,9
.\openedx\core\djangoapps\content_libraries\tests\test_versioned_apis.py,10
.\openedx\core\djangoapps\content_libraries\tests\test_views_collections.py,40
.\openedx\core\djangoapps\content_staging\tests\test_clipboard.py,59
.\openedx\core\djangoapps\content_tagging\api.py,2
.\openedx\core\djangoapps\content_tagging\rest_api\v1\tests\test_views.py,201
.\openedx\core\djangoapps\content_tagging\rest_api\v1\views.py,1
.\openedx\core\djangoapps\content_tagging\rules.py,3
.\openedx\core\djangoapps\content_tagging\tests\test_api.py,42
.\openedx\core\djangoapps\content_tagging\tests\test_objecttag_export_helpers.py,11
.\openedx\core\djangoapps\content_tagging\tests\test_rules.py,130
.\openedx\core\djangoapps\content_tagging\tests\test_tasks.py,23
.\openedx\core\djangoapps\content_tagging\utils.py,1
.\openedx\core\djangoapps\contentserver\test\test_contentserver.py,63
.\openedx\core\djangoapps\contentserver\test\test_views.py,1
.\openedx\core\djangoapps\cors_csrf\tests\test_authentication.py,2
.\openedx\core\djangoapps\cors_csrf\tests\test_decorators.py,3
.\openedx\core\djangoapps\cors_csrf\tests\test_middleware.py,9
.\openedx\core\djangoapps\cors_csrf\tests\test_views.py,2
.\openedx\core\djangoapps\course_apps\rest_api\tests\test_views.py,11
.\openedx\core\djangoapps\course_apps\rest_api\tests\test_views_permissions.py,8
.\openedx\core\djangoapps\course_apps\tests\test_api.py,8
.\openedx\core\djangoapps\course_apps\tests\test_notes_app.py,2
.\openedx\core\djangoapps\course_apps\tests\test_proctoring_app.py,4
.\openedx\core\djangoapps\course_apps\tests\test_wiki_app.py,2
.\openedx\core\djangoapps\course_apps\tests\utils.py,3
.\openedx\core\djangoapps\course_date_signals\tests.py,6
.\openedx\core\djangoapps\course_groups\cohorts.py,2
.\openedx\core\djangoapps\course_groups\tests\test_api_views.py,84
.\openedx\core\djangoapps\course_groups\tests\test_cohorts.py,65
.\openedx\core\djangoapps\course_groups\tests\test_partition_scheme.py,7
.\openedx\core\djangoapps\course_groups\tests\test_views.py,69
.\openedx\core\djangoapps\course_live\tests\test_tab.py,5
.\openedx\core\djangoapps\course_live\tests\test_views.py,5
.\openedx\core\djangoapps\courseware_api\tests\pacts\verify_pact.py,1
.\openedx\core\djangoapps\courseware_api\tests\test_views.py,133
.\openedx\core\djangoapps\crawlers\tests\test_models.py,2
.\openedx\core\djangoapps\credentials\management\commands\tests\test_create_credentials_api_configuration.py,1
.\openedx\core\djangoapps\credentials\management\commands\tests\test_notify_credentials.py,47
.\openedx\core\djangoapps\credentials\tests\test_api.py,3
.\openedx\core\djangoapps\credentials\tests\test_models.py,7
.\openedx\core\djangoapps\credentials\tests\test_signals.py,4
.\openedx\core\djangoapps\credentials\tests\test_tasks.py,60
.\openedx\core\djangoapps\credentials\tests\test_utils.py,9
.\openedx\core\djangoapps\credit\tests\test_api.py,117
.\openedx\core\djangoapps\credit\tests\test_models.py,21
.\openedx\core\djangoapps\credit\tests\test_serializers.py,1
.\openedx\core\djangoapps\credit\tests\test_services.py,44
.\openedx\core\djangoapps\credit\tests\test_signals.py,2
.\openedx\core\djangoapps\credit\tests\test_signature.py,6
.\openedx\core\djangoapps\credit\tests\test_tasks.py,28
.\openedx\core\djangoapps\credit\tests\test_views.py,64
.\openedx\core\djangoapps\dark_lang\tests.py,19
.\openedx\core\djangoapps\discussions\tests\test_admin.py,1
.\openedx\core\djangoapps\discussions\tests\test_handlers.py,24
.\openedx\core\djangoapps\discussions\tests\test_models.py,51
.\openedx\core\djangoapps\discussions\tests\test_tasks.py,20
.\openedx\core\djangoapps\discussions\tests\test_transformer.py,4
.\openedx\core\djangoapps\discussions\tests\test_views.py,86
.\openedx\core\djangoapps\discussions\tests\test_views_permissions.py,11
.\openedx\core\djangoapps\django_comment_common\models.py,1
.\openedx\core\djangoapps\django_comment_common\tests.py,15
.\openedx\core\djangoapps\embargo\tests\test_api.py,13
.\openedx\core\djangoapps\embargo\tests\test_forms.py,16
.\openedx\core\djangoapps\embargo\tests\test_middleware.py,7
.\openedx\core\djangoapps\embargo\tests\test_models.py,34
.\openedx\core\djangoapps\embargo\tests\test_views.py,9
.\openedx\core\djangoapps\enrollments\management\tests\test_enroll_user_in_course.py,2
.\openedx\core\djangoapps\enrollments\tests\test_api.py,41
.\openedx\core\djangoapps\enrollments\tests\test_data.py,27
.\openedx\core\djangoapps\enrollments\tests\test_services.py,5
.\openedx\core\djangoapps\enrollments\tests\test_views.py,173
.\openedx\core\djangoapps\external_user_ids\tests\test_admin_generate_id.py,4
.\openedx\core\djangoapps\external_user_ids\tests\test_batch_generate_id.py,5
.\openedx\core\djangoapps\geoinfo\tests\test_middleware.py,14
.\openedx\core\djangoapps\header_control\tests\test_decorators.py,3
.\openedx\core\djangoapps\header_control\tests\test_middleware.py,10
.\openedx\core\djangoapps\heartbeat\tests\test_heartbeat.py,4
.\openedx\core\djangoapps\lang_pref\tests\test_api.py,10
.\openedx\core\djangoapps\lang_pref\tests\test_middleware.py,21
.\openedx\core\djangoapps\lang_pref\tests\test_views.py,4
.\openedx\core\djangoapps\models\tests\test_course_details.py,34
.\openedx\core\djangoapps\notifications\email\tests\test_tasks.py,135
.\openedx\core\djangoapps\notifications\email\tests\test_utils.py,20
.\openedx\core\djangoapps\notifications\email\tests\utils.py,2
.\openedx\core\djangoapps\notifications\management\tests\test_delete_notifications.py,4
.\openedx\core\djangoapps\notifications\push\tests\test_tasks.py,2
.\openedx\core\djangoapps\notifications\tests\test_base_notification.py,17
.\openedx\core\djangoapps\notifications\tests\test_notification_grouping.py,2
.\openedx\core\djangoapps\notifications\tests\test_tasks_with_account_level_pref.py,18
.\openedx\core\djangoapps\notifications\tests\test_views.py,12
.\openedx\core\djangoapps\oauth_dispatch\dot_overrides\validators.py,1
.\openedx\core\djangoapps\oauth_dispatch\dot_overrides\views.py,1
.\openedx\core\djangoapps\oauth_dispatch\jwt.py,1
.\openedx\core\djangoapps\oauth_dispatch\management\commands\generate_jwt_signing_key.py,1
.\openedx\core\djangoapps\oauth_dispatch\management\commands\tests\test_clear_expired_tokens.py,10
.\openedx\core\djangoapps\oauth_dispatch\management\commands\tests\test_create_dot_application.py,20
.\openedx\core\djangoapps\oauth_dispatch\management\commands\tests\test_generate_jwt_signing_key.py,6
.\openedx\core\djangoapps\oauth_dispatch\tests\factories.py,1
.\openedx\core\djangoapps\oauth_dispatch\tests\mixins.py,1
.\openedx\core\djangoapps\oauth_dispatch\tests\test_api.py,6
.\openedx\core\djangoapps\oauth_dispatch\tests\test_client_credentials.py,3
.\openedx\core\djangoapps\oauth_dispatch\tests\test_dot_adapter.py,11
.\openedx\core\djangoapps\oauth_dispatch\tests\test_dot_overrides.py,12
.\openedx\core\djangoapps\oauth_dispatch\tests\test_factories.py,3
.\openedx\core\djangoapps\oauth_dispatch\tests\test_jwt.py,18
.\openedx\core\djangoapps\oauth_dispatch\tests\test_scopes.py,3
.\openedx\core\djangoapps\oauth_dispatch\tests\test_views.py,83
.\openedx\core\djangoapps\oauth_dispatch\views.py,2
.\openedx\core\djangoapps\olx_rest_api\test_views.py,13
.\openedx\core\djangoapps\password_policy\tests\test_apps.py,4
.\openedx\core\djangoapps\password_policy\tests\test_compliance.py,32
.\openedx\core\djangoapps\password_policy\tests\test_forms.py,8
.\openedx\core\djangoapps\password_policy\tests\test_hibp.py,5
.\openedx\core\djangoapps\plugins\i18n_api.py,3
.\openedx\core\djangoapps\plugins\tests\test_commands.py,5
.\openedx\core\djangoapps\plugins\tests\test_i18n_api.py,7
.\openedx\core\djangoapps\profile_images\tests\test_images.py,13
.\openedx\core\djangoapps\profile_images\tests\test_views.py,34
.\openedx\core\djangoapps\programs\rest_api\v1\tests\test_views.py,21
.\openedx\core\djangoapps\programs\tests\test_signals.py,30
.\openedx\core\djangoapps\programs\tests\test_tasks.py,65
.\openedx\core\djangoapps\programs\tests\test_utils.py,91
.\openedx\core\djangoapps\safe_sessions\middleware.py,1
.\openedx\core\djangoapps\safe_sessions\tests\test_middleware.py,91
.\openedx\core\djangoapps\safe_sessions\tests\test_safe_cookie_data.py,18
.\openedx\core\djangoapps\safe_sessions\tests\test_utils.py,4
.\openedx\core\djangoapps\schedules\management\commands\tests\send_email_base.py,25
.\openedx\core\djangoapps\schedules\management\commands\tests\test_send_course_update.py,3
.\openedx\core\djangoapps\schedules\management\commands\tests\test_send_email_base_command.py,4
.\openedx\core\djangoapps\schedules\management\commands\tests\test_send_upgrade_reminder.py,3
.\openedx\core\djangoapps\schedules\management\commands\tests\upsell_base.py,3
.\openedx\core\djangoapps\schedules\tests\test_config.py,17
.\openedx\core\djangoapps\schedules\tests\test_content_highlights.py,13
.\openedx\core\djangoapps\schedules\tests\test_resolvers.py,13
.\openedx\core\djangoapps\schedules\tests\test_signals.py,11
.\openedx\core\djangoapps\schedules\tests\test_tasks.py,3
.\openedx\core\djangoapps\schedules\tests\test_utils.py,4
.\openedx\core\djangoapps\service_status\test.py,6
.\openedx\core\djangoapps\session_inactivity_timeout\tests\test_middleware.py,19
.\openedx\core\djangoapps\site_configuration\management\commands\tests\test_create_or_update_site_configuration.py,14
.\openedx\core\djangoapps\site_configuration\tests\test_context_processors.py,2
.\openedx\core\djangoapps\site_configuration\tests\test_helpers.py,26
.\openedx\core\djangoapps\site_configuration\tests\test_middleware.py,5
.\openedx\core\djangoapps\site_configuration\tests\test_models.py,39
.\openedx\core\djangoapps\system_wide_roles\tests\test_models.py,4
.\openedx\core\djangoapps\theming\management\commands\tests\test_create_sites_and_configurations.py,17
.\openedx\core\djangoapps\theming\storage.py,1
.\openedx\core\djangoapps\theming\tests\test_finders.py,8
.\openedx\core\djangoapps\theming\tests\test_helpers.py,14
.\openedx\core\djangoapps\theming\tests\test_middleware.py,11
.\openedx\core\djangoapps\theming\tests\test_storage.py,3
.\openedx\core\djangoapps\theming\tests\test_theme_locales.py,2
.\openedx\core\djangoapps\theming\tests\test_theme_style_overrides.py,14
.\openedx\core\djangoapps\theming\tests\test_views.py,9
.\openedx\core\djangoapps\user_api\accounts\__init__.py,1
.\openedx\core\djangoapps\user_api\accounts\tests\test_api.py,51
.\openedx\core\djangoapps\user_api\accounts\tests\test_image_helpers.py,3
.\openedx\core\djangoapps\user_api\accounts\tests\test_models.py,16
.\openedx\core\djangoapps\user_api\accounts\tests\test_permissions.py,11
.\openedx\core\djangoapps\user_api\accounts\tests\test_retirement_views.py,110
.\openedx\core\djangoapps\user_api\accounts\tests\test_serializers.py,5
.\openedx\core\djangoapps\user_api\accounts\tests\test_utils.py,4
.\openedx\core\djangoapps\user_api\accounts\tests\test_views.py,155
.\openedx\core\djangoapps\user_api\accounts\utils.py,2
.\openedx\core\djangoapps\user_api\course_tag\tests\test_api.py,4
.\openedx\core\djangoapps\user_api\management\tests\test_bulk_user_org_email_optout.py,1
.\openedx\core\djangoapps\user_api\management\tests\test_cancel_retirement.py,3
.\openedx\core\djangoapps\user_api\management\tests\test_email_opt_in_list.py,7
.\openedx\core\djangoapps\user_api\management\tests\test_populate_retirement_states.py,2
.\openedx\core\djangoapps\user_api\management\tests\test_retire_user.py,6
.\openedx\core\djangoapps\user_api\management\tests\test_sync_hubspot_contacts.py,5
.\openedx\core\djangoapps\user_api\middleware.py,1
.\openedx\core\djangoapps\user_api\partition_schemes.py,1
.\openedx\core\djangoapps\user_api\preferences\tests\test_api.py,36
.\openedx\core\djangoapps\user_api\preferences\tests\test_views.py,29
.\openedx\core\djangoapps\user_api\tests\test_api.py,4
.\openedx\core\djangoapps\user_api\tests\test_helpers.py,8
.\openedx\core\djangoapps\user_api\tests\test_middleware.py,3
.\openedx\core\djangoapps\user_api\tests\test_models.py,21
.\openedx\core\djangoapps\user_api\tests\test_partition_schemes.py,9
.\openedx\core\djangoapps\user_api\tests\test_views.py,77
.\openedx\core\djangoapps\user_api\verification_api\tests\test_views.py,12
.\openedx\core\djangoapps\user_authn\api\tests\test_views.py,29
.\openedx\core\djangoapps\user_authn\tests\test_cookies.py,11
.\openedx\core\djangoapps\user_authn\tests\test_exceptions.py,1
.\openedx\core\djangoapps\user_authn\tests\test_signals.py,4
.\openedx\core\djangoapps\user_authn\tests\test_tasks.py,15
.\openedx\core\djangoapps\user_authn\tests\test_utils.py,10
.\openedx\core\djangoapps\user_authn\tests\utils.py,18
.\openedx\core\djangoapps\user_authn\utils.py,1
.\openedx\core\djangoapps\user_authn\views\login.py,2
.\openedx\core\djangoapps\user_authn\views\password_reset.py,4
.\openedx\core\djangoapps\user_authn\views\register.py,2
.\openedx\core\djangoapps\user_authn\views\tests\test_auth.py,4
.\openedx\core\djangoapps\user_authn\views\tests\test_auto_auth.py,37
.\openedx\core\djangoapps\user_authn\views\tests\test_events.py,3
.\openedx\core\djangoapps\user_authn\views\tests\test_filters.py,5
.\openedx\core\djangoapps\user_authn\views\tests\test_login.py,51
.\openedx\core\djangoapps\user_authn\views\tests\test_logistration.py,15
.\openedx\core\djangoapps\user_authn\views\tests\test_logout.py,3
.\openedx\core\djangoapps\user_authn\views\tests\test_password.py,45
.\openedx\core\djangoapps\user_authn\views\tests\test_register.py,99
.\openedx\core\djangoapps\user_authn\views\tests\test_reset_password.py,94
.\openedx\core\djangoapps\user_authn\views\utils.py,1
.\openedx\core\djangoapps\util\management\commands\reset_db.py,2
.\openedx\core\djangoapps\util\test_forms.py,3
.\openedx\core\djangoapps\util\tests\test_dump_settings.py,10
.\openedx\core\djangoapps\util\tests\test_maintenance_banner.py,3
.\openedx\core\djangoapps\util\tests\test_print_setting.py,2
.\openedx\core\djangoapps\util\tests\test_ratelimit.py,5
.\openedx\core\djangoapps\util\tests\test_signals.py,1
.\openedx\core\djangoapps\util\tests\test_user_messages.py,14
.\openedx\core\djangoapps\util\tests\test_user_utils.py,6
.\openedx\core\djangoapps\util\user_messages.py,2
.\openedx\core\djangoapps\verified_track_content\tests\test_partition_scheme.py,22
.\openedx\core\djangoapps\video_config\tests\test_models.py,10
.\openedx\core\djangoapps\video_config\tests\test_services.py,5
.\openedx\core\djangoapps\video_config\transcripts_utils.py,2
.\openedx\core\djangoapps\video_pipeline\tests\mixins.py,1
.\openedx\core\djangoapps\video_pipeline\tests\test_api.py,5
.\openedx\core\djangoapps\waffle_utils\__init__.py,1
.\openedx\core\djangoapps\waffle_utils\tests\test_init.py,12
.\openedx\core\djangoapps\waffle_utils\tests\test_models.py,2
.\openedx\core\djangoapps\waffle_utils\tests\test_views.py,41
.\openedx\core\djangoapps\xblock\api.py,1
.\openedx\core\djangoapps\xblock\rest_api\views.py,2
.\openedx\core\djangoapps\xblock\runtime\openedx_content_runtime.py,1
.\openedx\core\djangoapps\xblock\runtime\runtime.py,2
.\openedx\core\djangoapps\xblock\tests\test_utils.py,15
.\openedx\core\djangoapps\zendesk_proxy\tests\test_utils.py,5
.\openedx\core\djangoapps\zendesk_proxy\tests\test_v0_views.py,5
.\openedx\core\djangoapps\zendesk_proxy\tests\test_v1_views.py,7
.\openedx\core\djangolib\testing\tests\test_utils.py,3
.\openedx\core\djangolib\testing\utils.py,3
.\openedx\core\djangolib\tests\test_js_utils.py,27
.\openedx\core\djangolib\tests\test_markup.py,24
.\openedx\core\djangolib\tests\test_oauth2_retirement_utils.py,1
.\openedx\core\djangolib\tests\test_translation_utils.py,2
.\openedx\core\lib\api\authentication.py,5
.\openedx\core\lib\api\fields.py,2
.\openedx\core\lib\api\test_utils.py,10
.\openedx\core\lib\api\tests\test_authentication.py,15
.\openedx\core\lib\api\tests\test_exceptions.py,5
.\openedx\core\lib\api\tests\test_fields.py,2
.\openedx\core\lib\api\tests\test_parsers.py,11
.\openedx\core\lib\api\tests\test_permissions.py,20
.\openedx\core\lib\api\tests\test_view_utils.py,4
.\openedx\core\lib\api\view_utils.py,1
.\openedx\core\lib\cache_utils.py,2
.\openedx\core\lib\gating\tests\test_api.py,47
.\openedx\core\lib\html_to_text.py,3
.\openedx\core\lib\safe_lxml\tests.py,2
.\openedx\core\lib\session_serializers.py,1
.\openedx\core\lib\tests\test_cache_utils.py,81
.\openedx\core\lib\tests\test_command_utils.py,1
.\openedx\core\lib\tests\test_course_tab_api.py,1
.\openedx\core\lib\tests\test_course_tabs.py,6
.\openedx\core\lib\tests\test_courses.py,2
.\openedx\core\lib\tests\test_derived.py,7
.\openedx\core\lib\tests\test_edx_api_utils.py,20
.\openedx\core\lib\tests\test_grade_utils.py,7
.\openedx\core\lib\tests\test_graph_traversals.py,7
.\openedx\core\lib\tests\test_hash_utils.py,3
.\openedx\core\lib\tests\test_request_utils.py,24
.\openedx\core\lib\tests\test_teams_config.py,12
.\openedx\core\lib\tests\test_time_zone_utils.py,3
.\openedx\core\lib\tests\test_url_utils.py,2
.\openedx\core\lib\tests\test_user_util.py,33
.\openedx\core\lib\tests\test_xblock_utils.py,22
.\openedx\core\lib\x_forwarded_for\tests\test_middleware.py,1
.\openedx\core\lib\xblock_serializer\test_api.py,5
.\openedx\core\lib\xblock_serializer\test_utils.py,4
.\openedx\core\process_warnings.py,1
.\openedx\core\tests\test_admin_view.py,5
.\openedx\envs\common.py,13
.\openedx\envs\test.py,5
.\openedx\features\calendar_sync\tests\test_api.py,8
.\openedx\features\calendar_sync\tests\test_ics.py,1
.\openedx\features\calendar_sync\tests\test_init.py,2
.\openedx\features\calendar_sync\tests\test_models.py,4
.\openedx\features\calendar_sync\tests\test_plugins.py,1
.\openedx\features\calendar_sync\tests\test_views.py,3
.\openedx\features\content_type_gating\tests\test_access.py,22
.\openedx\features\content_type_gating\tests\test_models.py,28
.\openedx\features\content_type_gating\tests\test_partitions.py,9
.\openedx\features\course_bookmarks\tests\test_course_bookmarks.py,1
.\openedx\features\course_duration_limits\tests\test_access.py,9
.\openedx\features\course_duration_limits\tests\test_course_expiration.py,12
.\openedx\features\course_duration_limits\tests\test_models.py,28
.\openedx\features\course_experience\api\v1\tests\test_utils.py,9
.\openedx\features\course_experience\api\v1\tests\test_views.py,16
.\openedx\features\course_experience\tests\test_course_updates.py,13
.\openedx\features\course_experience\tests\test_url_helpers.py,2
.\openedx\features\course_experience\tests\views\test_course_home.py,2
.\openedx\features\course_experience\tests\views\test_course_updates.py,1
.\openedx\features\course_experience\tests\views\test_masquerade.py,1
.\openedx\features\course_experience\utils.py,1
.\openedx\features\discounts\tests\test_applicability.py,11
.\openedx\features\discounts\tests\test_discount_restriction_models.py,5
.\openedx\features\discounts\tests\test_utils.py,10
.\openedx\features\discounts\tests\test_views.py,5
.\openedx\features\effort_estimation\tests\test_block_transformers.py,22
.\openedx\features\enterprise_support\enrollments\tests\test_utils.py,5
.\openedx\features\enterprise_support\tests\mixins\enterprise.py,4
.\openedx\features\enterprise_support\tests\test_admin.py,9
