File,Line,Text
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\modulestore_migrator\tasks.py,662,# TODO: add an intermediate status such as 'partially satisfactory'
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\modulestore_migrator\api\read_api.py,276,"TODO: For now, the repeat_handling_strategy is not taken into account. This can be taken into"
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\modulestore_migrator\rest_api\v1\views.py,121,"# TODO: This should check some sort of ""allowed to cancel/migrations"" permission"
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\xblock_config\apps.py,24,# TODO: Remove this code when Runtimes are no longer created by modulestores
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\envs\common.py,13,Longer TODO:
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\envs\production.py,290,"# TODO: Once we have successfully upgraded to ES7, switch this back to ELASTIC_SEARCH_CONFIG."
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\envs\production.py,382,"# TODO: This should not be in the core platform. If it has to stay for now, though, then we should move these"
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\envs\production.py,390,"# TODO: We believe that this could be more simply defined as CMS_ROOT_URL. We are not making the change now,"
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\lib\xblock\upstream_sync_block.py,181,# TODO: resolve this so there's no special-case happening for video block.
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\lib\xblock\upstream_sync_container.py,44,lib_api.require_permission_for_library_key(  # TODO: should permissions be checked at this low level?
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\cms\js\xblock\cms.runtime.v1.js,97,// TODO: remove 'Open Assessment' specific default title
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\js\models\settings\course_details.js,120,// TODO check if key points to a real video using google's youtube api
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\js\models\settings\course_details.js,146,// TODO remove all whitespace w/in string
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\js\models\settings\course_grader.js,29,// FIXME somehow this.collection is unbound sometimes. I can't track down when
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\js\models\settings\course_grader.js,43,"// FIXME b/c saves don't update the models if validation fails, we should"
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\js\spec\video\translations_editor_spec.js,8,// TODO: fix BLD-1100 Disabled due to intermittent failure on master and in PR builds
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\js\spec\views\pages\group_configurations_spec.js,57,"// TODO fix this, see TNL-1475"
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\js\views\paged_container.js,260,return gettext('Date added'); // TODO add support for sorting
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\js\views\validation.js,49,// TODO: (pfogg) should this text fade in/out on change?
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\js\views\xblock_string_field_editor.js,111,// TODO: generalize this as not all xblock fields want to disallow empty strings...
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\js\views\pages\container_subviews.js,395,// TODO We can use this function for the initial request of tags
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\js\views\settings\advanced.js,18,// TODO enable/disable save based on validation (currently enabled whenever there are changes)
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\js\views\settings\advanced.js,99,// TODO: validation error
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\js\views\settings\grading.js,323,// TODO shouldn't we disable the button
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\static\js\views\video\translations_editor.js,123,// @TODO: Use backbone render patterns.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\course_modes\views.py,215,# REV-2415 TODO: remove [Track Selection Check] logs introduced by REV-2355 for error handling check
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\course_modes\tests\test_views.py,185,"# TODO: Fix it so that response.templates works w/ mako templates, and then assert"
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\entitlements\rest_api\v1\views.py,319,# TODO: ARCH-91
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\helpers.py,480,TODO: replace with a method that lives in the certificates app and combines this logic with
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\helpers.py,701,"# TODO: Rearrange so that if part of the process fails, the whole process fails."
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\helpers.py,712,# TODO duplicate email is already handled by form.errors above as a ValidationError.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\models\course_enrollment.py,637,# TODO: DENG-804: remove the properties duplication in the event traits.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\models\course_enrollment.py,1731,# TODO: Django 1.8 introduces a DurationField
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\models\user.py,223,# TODO: Revert to this after username capitalization issues detailed in
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\models\user.py,437,# CRITICAL TODO/SECURITY
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\models\user.py,847,"# TODO: Should be renamed to generic UserGroup, and possibly"
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\models\user.py,876,# MINOR TODO: Switch to crypto-secure key
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\views\dashboard.py,516,TODO: This is lms specific and does not belong in common code.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\views\dashboard.py,682,# TODO: Delete this code and the relevant HTML code after testing LEARNER-3072 is complete
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\views\dashboard.py,851,# TODO START: clean up as part of REVEM-199 (START)
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\views\dashboard.py,853,# TODO START: clean up as part of REVEM-199 (END)
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\views\dashboard.py,855,# TODO: clean when experiment(Merchandise 2U LOBs - Dashboard) would be stop. [VAN-1097]
